,car_name,brand,year,mileage,location,transmission,plate_type,rear_camera,sun_roof,auto_retract_mirror,electric_parking_brake,map_navigator,vehicle_stability_control,keyless_push_start,sports_mode,camera_view,power_sliding_door,auto_cruise_control,price,instalment
164,RUSH S TRD SPORTIVO 1.5,Toyota,2019,66.0,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,219000000,4460000
165,KIJANG INNOVA REBORN G 2.0,Toyota,2017,104.0,Malang,Automatic,odd plate,1,0,0,0,0,0,0,1,0,0,0,248000000,5050000
166,AGYA G TRD 1.2,Toyota,2018,31.0,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,120000000,2440000
167,AGYA G TRD 1.2,Toyota,2018,46.0,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,121000000,2470000
168,X-TRAIL 2.0,Nissan,2016,118.0,Tangerang Selatan,Automatic,even plate,0,0,0,0,0,0,0,0,1,0,0,190000000,3870000
169,HR-V E 1.5,Honda,2018,54.0,Depok,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,236000000,4810000
170,RUSH S TRD SPORTIVO 1.5,Toyota,2019,52.0,Depok,Manual,odd plate,1,0,1,0,0,0,0,0,0,0,0,213000000,4340000
171,BRIO RS 1.2,Honda,2020,29.0,Tangerang Selatan,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,183000000,3730000
172,BRIO RS 1.2,Honda,2018,22.0,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,151000000,3080000
173,ERTIGA GX 1.4,Suzuki,2017,111.0,Bogor,Manual,even plate,0,0,1,0,0,0,0,0,0,0,0,149000000,3040000
174,ROCKY R 1.0,Daihatsu,2021,23.0,Jakarta Timur,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,218000000,4440000
175,RUSH S TRD SPORTIVO 1.5,Toyota,2018,51.0,Depok,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,213000000,4340000
176,SIENTA Q 1.5,Toyota,2018,65.0,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,1,0,199000000,4050000
177,CONFERO S L LUX 1.5,Wuling,2020,13.0,Bandung,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,127000000,2590000
178,SX4 S-CROSS 1.5,Suzuki,2017,96.0,Depok,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,169000000,3440000
179,XPANDER ULTIMATE 1.5,Mitsubishi,2018,68.0,Depok,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000
180,ERTIGA SPORT GT 1.5,Suzuki,2019,78.0,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,196000000,3990000
181,IGNIS GX 1.2,Suzuki,2017,103.0,Jakarta Pusat,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,129000000,2630000
182,SIGRA R DLX 1.2,Daihatsu,2016,99.0,Bogor,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,111000000,2260000
183,SIGRA D 1.0,Daihatsu,2019,29.0,Surabaya,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,102000000,2080000
184,2 R SKYACTIV 1.5,Mazda,2016,83.0,Tangerang Selatan,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,174000000,3550000
185,TERIOS X DLX 1.5,Daihatsu,2018,41.0,Tangerang Selatan,Manual,odd plate,1,0,0,0,0,0,0,0,0,0,0,185000000,3770000
186,HR-V E PLUS 1.5,Honda,2018,74.0,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,256000000,5220000
187,HR-V E PLUS 1.5,Honda,2018,27.0,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,258000000,5260000
188,XPANDER SPORT 1.5,Mitsubishi,2019,71.0,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,210000000,4280000
189,BR-V E 1.5,Honda,2016,119.0,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,164000000,3340000
190,CITY E 1.5,Honda,2017,62.0,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,205000000,4179999
191,KIJANG INNOVA REBORN G 2.0,Toyota,2018,75.0,Bogor,Automatic,even plate,1,0,0,0,0,0,0,1,0,0,0,261000000,5320000
192,AYLA R 1.2,Daihatsu,2018,82.0,Bandung,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,120000000,2440000
193,BRIO RS 1.2,Honda,2018,84.0,Bandung,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,151000000,3080000
194,BRIO SATYA E 1.2,Honda,2020,53.0,Bandung,Automatic,even plate,0,0,0,0,0,0,0,1,0,0,0,162000000,3300000
195,HR-V E PLUS 1.5,Honda,2018,95.0,Jakarta Timur,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,258000000,5260000
196,CITY RS HATCHBACK 1.5,Honda,2021,23.0,Bekasi,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,262000000,5340000
197,HR-V E 1.5,Honda,2019,69.0,Bandung,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,261000000,5320000
198,2 R SKYACTIV 1.5,Mazda,2015,127.0,Bekasi,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,162000000,3300000
199,2 R SKYACTIV 1.5,Mazda,2015,118.0,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,166000000,3380000
200,AGYA G 1.2,Toyota,2022,10.0,Jakarta Selatan,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,136000000,2770000
201,XPANDER ULTIMATE 1.5,Mitsubishi,2018,62.0,Jakarta Barat,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,212000000,4320000
202,XPANDER ULTIMATE 1.5,Mitsubishi,2018,47.0,Tangerang Selatan,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,213000000,4340000
203,LIVINA VL 1.5,Nissan,2019,84.0,Jakarta Pusat,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,199000000,4050000
204,RUSH S TRD SPORTIVO 1.5,Toyota,2019,77.0,Bogor,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,221000000,4500000
205,RUSH S TRD SPORTIVO 1.5,Toyota,2019,57.0,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,219000000,4460000
206,TERIOS R DLX 1.5,Daihatsu,2019,73.0,Malang,Automatic,even plate,0,0,1,0,0,0,0,0,1,0,0,203000000,4139999
207,XENIA R DLX 1.3,Daihatsu,2013,141.0,Bogor,Automatic,even plate,1,0,0,0,0,0,0,0,0,0,0,106000000,2160000
208,BR-V E PRESTIGE 1.5,Honda,2018,86.0,Bekasi,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,182000000,3710000
209,KIJANG INNOVA G LUX 2.0,Toyota,2010,169.0,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,129000000,2630000
210,GRAND LIVINA XV 1.5,Nissan,2014,142.0,Bandung,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
211,SIGRA R DLX 1.2,Daihatsu,2017,123.0,Bandung,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,98000000,2000000
212,HR-V E 1.5,Honda,2018,93.0,Bogor,Automatic,odd plate,0,0,1,1,0,0,0,0,0,0,0,224000000,4560000
213,MOBILIO RS 1.5,Honda,2015,73.0,Bekasi,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,139000000,2830000
214,CALYA G 1.2,Toyota,2016,60.0,Bekasi,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,101000000,2060000
215,AYLA R DLX 1.2,Daihatsu,2019,80.0,Bandung,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,118000000,2400000
216,SIGRA R STD 1.2,Daihatsu,2018,140.0,Bandung,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,101000000,2060000
