car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
BRIO SATYA E 1.2,Honda,2018,36.455,Jakarta Barat,Automatic,odd plate,0,0,0,0,0,0,0,1,0,0,0,139000000,2830000
BRIO RS 1.2,Honda,2020,46.441,Bogor,Automatic,odd plate,0,0,1,0,0,0,0,1,0,0,0,180000000,3670000
FORTUNER VRZ 2.4,Toyota,2016,94.919,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,365000000,7440000
CX-5 ELITE 2.5,Mazda,2019,45.271,Tangerang Selatan,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,426000000,8680000
GRAND LIVINA XV 1.5,Nissan,2018,98.416,Jakarta Utara,Automatic,odd plate,1,0,0,0,0,0,0,0,0,0,0,148000000,3020000
ERTIGA GL 1.5,Suzuki,2019,49.988,Tangerang Selatan,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,163000000,3320000
AGYA G 1.0,Toyota,2017,78.175,Bogor,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,99000000,2020000
AGYA G TRD 1.2,Toyota,2019,56.303,Jakarta Utara,Automatic,even plate,0,0,0,0,0,0,0,0,0,0,0,128000000,2610000
IGNIS GX 1.2,Suzuki,2021,27.044,Bekasi,Manual,odd plate,0,0,1,0,0,0,1,0,0,0,0,148000000,3020000
HR-V S 1.5,Honda,2019,60.978,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,231000000,4710000
CORTEZ C T LUX 1.5,Wuling,2019,55.534,Surabaya,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,168000000,3420000
ALMAZ RS LT LUX + SC CVT 1.5,Wuling,2021,38.223,Tangerang Selatan,Automatic,odd plate,0,1,0,0,0,0,0,0,1,0,0,273000000,5560000
CONFERO S 1.5,Wuling,2019,32.63,Jakarta Barat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,104000000,2120000
AYLA X 1.0,Daihatsu,2019,73.528,Bekasi,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,100000000,2040000
ALMAZ L TURBO 1.5,Wuling,2019,43.439,Bekasi,Automatic,odd plate,0,0,1,0,0,0,0,0,1,0,0,204000000,4160000
AYLA R 1.2,Daihatsu,2019,25.4,Bogor,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000
KIJANG INNOVA REBORN VENTURER GASOLINE 2.0,Toyota,2017,89.898,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,316000000,6440000
AGYA G 1.0,Toyota,2014,95.007,Bandung,Manual,even plate,1,0,0,0,0,0,0,0,0,0,0,87000000,1770000
BALENO HATCHBACK 1.4,Suzuki,2019,72.458,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,176000000,3590000
BALENO HATCHBACK 1.4,Suzuki,2019,41.091,Bogor,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,160000000,3260000
AYLA R DLX 1.2,Daihatsu,2018,21.88,Tangerang Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,114000000,2320000
